1058ef80daa24cf1b3b95ad440fe8297fc16b2c5,0.26,0.011,48,0.000,340
5896331958f83afaebaf44dff84d738141863d79,0.16,0.003,46,0.001,326
5c2fdcd505ca05b73db683533c687ee0621da72d,0.17,0.003,42,0.001,294
f5ac2a6c1841f87455797eeba0651d6c763c58fa,0.17,0.004,40,0.002,284
081cd67f52a50d42499a78ddaf3f62e97ddfe3ad,0.23,0.007,40,0.002,280
7370d873e0ccd16d1ee86d1e89a2b56ebc8ab1e4,0.25,0.010,39,0.002,277
43e3a495a4b7bf7d33847da0685d6c1afc5c53d5,0.35,0.030,39,0.003,276
73cbeefe47d4808dc1d338abe5ded174af69bac3,0.28,0.012,39,0.003,273
ca5d3abf4c7a4e4058e47339365a09804f2ef604,0.36,0.033,37,0.004,264
02bf78a7153cdc951de1c9b8d15e62fcbb37f74c,0.31,0.019,37,0.004,263
3ed5de258adb99d4549c7adff3839da9b344e1fc,0.41,0.046,37,0.005,263
b639f0dc3b156f47aaf52c8f6e5d15dc91b8d058,0.24,0.010,37,0.005,262
e55dd1630923510814fe463be4bf12ed042a5a07,0.32,0.019,37,0.005,260
b4af94c827dd5699775bcc1e1bffbf2866839175,0.32,0.020,36,0.006,258
47a7184020d25ec0e23018249866e07fbe0aaccc,0.32,0.020,36,0.006,258
92e5a9472e8054fcfa99361ff8a066c13a983325,0.24,0.008,36,0.007,254
a683f6feb984db373fce0bd8082d09d409677967,0.39,0.041,36,0.007,253
92f7f89d6d98a9a985069fb3b973b8afcf7c1493,0.42,0.049,35,0.007,250
de2ea084d7e1dfcdd7d9633817ceb1398d92aa54,0.19,0.005,35,0.008,249
81ea0125fb50a2593811b0e6e62f47934eb76eaf,0.33,0.022,35,0.008,249
a391f585646133669eb599f885641baa468c5ca0,0.38,0.038,34,0.009,242
ecb1a554c5f3e141a943cfd2e5f175d29bc97002,0.33,0.024,34,0.009,241
5df48d9aaa26298073dba4b4a064f77a623dc657,0.38,0.039,34,0.010,241
dfa9f81c3e2e91616f22a353b723ffcd1225fdd8,0.53,0.323,34,0.010,241
115914f5171576b1e8ee2d15cd508cf032ad3771,0.27,0.012,34,0.010,238
423631ccfdd96a820d86a66b03ba84d86fb23f46,0.34,0.024,34,0.011,238
d4679f7d3ddf2e606a3d5c5fdaa12fc48f0e5679,0.34,0.026,33,0.011,237
8ed44e290ae22ab567cfc83e7055d12d2fac98d0,0.34,0.027,33,0.012,237
6f18f9ac1f69b0327d6582065817f9bd54c258f2,0.43,0.055,33,0.012,236
6c655b44d8e8524c2f1ba85bcd481c0c25e09362,0.20,0.005,33,0.012,233
fcd4c1b9334887f93dbacb673e21f9635bb66c13,0.24,0.009,33,0.013,233
cc6b270b98221dd4797e42f25658e1be1f9fcd41,0.25,0.011,33,0.013,232
2dfc7ff14fef8b5c5b3b85fee465cd7bee4d7242,0.34,0.027,33,0.014,232
6f0d396122454d0a2f8110c1019d5f5012ece404,0.44,0.058,33,0.014,232
e6146c02c7ae1d951252d16f84e2673803535dbf,0.51,0.313,33,0.014,232
546507c45232e67f54a740837e0ef2ceb72bb4b9,0.28,0.013,33,0.015,231
84c41d8c570a247f3398e9be2484eb838f410671,0.37,0.036,32,0.015,230
e61cec1c3c032b510134964f0a6f91bfe09573a4,0.34,0.028,32,0.016,229
fcb7f76a5f3708364e51776951d872fbf0935081,0.54,0.331,32,0.016,229
1debd95bbf150b0f4e325fc39f2e85763a25cdbe,0.48,0.080,32,0.017,228
fa35c700325507b46fcdbdcda1cb55af3e97b9d7,0.54,0.333,32,0.017,227
1e7f600f65f64a16562e0387bb723704170c3efe,0.25,0.010,32,0.017,226
1f3e4d19fb9a5fd6625d8767259392cd9bbb9431,0.21,0.005,32,0.018,225
676c820255a7a1b4f70db127e67bd4bb8ecab271,0.40,0.043,32,0.018,225
ac17011ded466bad4c647b6237633889ed5d5f21,0.44,0.061,32,0.019,225
699855815398377a6260b60ae3fce01a2fba9c5b,0.45,0.063,32,0.019,224
b3405ffb06979e3734f8e73993fe452ac26c1af2,0.45,0.063,32,0.019,224
2d334bb90197085dbe5484d82140d60fc8d03a99,0.48,0.083,31,0.020,223
913e1ac28de32f7cf00f7d84b4c8a55a59eae4d4,0.21,0.006,31,0.020,222
118b5e16aceaef810ac67a70e494a86fc8fdd123,0.42,0.049,31,0.021,222
41cb8b189b6a144f0edd14b86d00cc6572f9ab3c,0.55,0.338,31,0.021,222
